exp_name,svc_type,train_acc,test_acc
Count_NoNorm,LibLinear,0.837564567534894,0.834507767750443
Count_NoNorm,Poly,0.6833443235520387,0.6813367948242469
Count_NoNorm,RBF,0.6805418177821738,0.679400008241645
TFIDF_NoNorm,LibLinear,0.8159687877788768,0.810359747805662
TFIDF_NoNorm,Poly,0.845147818441587,0.8345901842007665
TFIDF_NoNorm,RBF,0.9004835696230356,0.8962788972678947
Count_Norm,LibLinear,0.8500934168589955,0.8430790785840854
Count_Norm,Poly,0.6860094515880866,0.6855400337907447
Count_Norm,RBF,0.6916144631278163,0.6897020645320806
TFIDF_Norm,LibLinear,0.8150346191889218,0.8091647092759715
TFIDF_Norm,Poly,0.8443785031322123,0.834013269048502
TFIDF_Norm,RBF,0.8996867787668975,0.8957843985659537
